Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AMAT,"Applied Materials, Inc.",21.23,25845431722,n/a,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
AMCC,Applied Micro Circuits Corporation,9.68,756270192.5,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/amcc
AAOI,"Applied Optoelectronics, Inc.",20.42,301911027.3,n/a,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
ARIS,"ARI Network Services, Inc.",3.08,41442025.24,n/a,1991,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/aris
ANET,"Arista Networks, Inc.",63.64,4046384954,n/a,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/anet
ARMH,ARM Holdings plc,43.77,5612065268,128217164,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/armh
ARRS,"ARRIS Group, Inc.",33.91,4874546054,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/arrs
ARUN,"Aruba Networks, Inc.",18.11,1969202277,n/a,2007,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/arun
ASTI,"Ascent Solar Technologies, Inc.",0.37,29245522.98,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asti
ASMI,ASM International N.V.,38.85,102541117.4,2639411,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asmi
ASML,ASML Holding N.V.,84.97,7302304806,85939800,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asml
AZPN,"Aspen Technology, Inc.",44.77,4122044413,n/a,1994,Technology,EDP Services,http://www.nasdaq.com/symbol/azpn
ATEA,"Astea International, Inc.",2.36,8466025.64,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atea
ALOT,"Astro-Med, Inc.",13.67,104973871.1,n/a,1983,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/alot
ASUR,Asure Software Inc,5.0785,30366514.94,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/asur
ATML,Atmel Corporation,8.38,3527627370,n/a,1991,Technology,Semiconductors,http://www.nasdaq.com/symbol/atml
ATTU,Attunity Ltd.,7.52,114147553.9,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/attu
AUO,AU Optronics Corp,4.54,4369407280,n/a,2002,Technology,Semiconductors,http://www.nasdaq.com/symbol/auo
ADNC,"Audience, Inc.",9.98,223266582,n/a,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/adnc
ADAT,Authentidate Holding Corp.,0.5402,20721334.09,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adat
ABTL,Autobytel Inc.,11.7,105207312.6,n/a,1999,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/abtl
ADSK,"Autodesk, Inc.",55.23,12585087782,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk
ATHM,Autohome Inc.,34.5,3627207042,n/a,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/athm
ADP,"Automatic Data Processing, Inc.",82.61,39826465386,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp
AVGO,Avago Technologies Limited,69.92,17600064806,n/a,2009,Technology,Semiconductors,http://www.nasdaq.com/symbol/avgo
AVG,AVG Technologies N.V.,20,1054103120,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/avg
AVNW,"Aviat Networks, Inc.",1.35,83902203,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/avnw
AWRE,"Aware, Inc.",5,113137375,n/a,1996,Technology,Semiconductors,http://www.nasdaq.com/symbol/awre
ACLS,"Axcelis Technologies, Inc.",1.73,192380451.3,n/a,2000,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acls
AXTI,AXT Inc,2.22,72383006.76,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/axti
BOSC,B.O.S. Better Online Solutions,3.69,4939020.72,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/bosc
BIDU,"Baidu, Inc.",226.5,62584801635,276312590,2005,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/bidu
BYI,"Bally Technologies, Inc.",62.26,2445261500,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/byi
CUDA,"Barracuda Networks, Inc.",28.93,1489385543,n/a,2013,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/cuda
BBSI,"Barrett Business Services, Inc.",51.14,366972815.6,n/a,1993,Technology,Professional Services,http://www.nasdaq.com/symbol/bbsi
BV,"Bazaarvoice, Inc.",7.5,583394827.5,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bv
BHE,"Benchmark Electronics, Inc.",24.89,1341839115,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/bhe
BNFT,"Benefitfocus, Inc.",38.95,977781597.7,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bnft
BITA,Bitauto Holdings Limited,56.71,2498401299,n/a,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/bita
BBOX,Black Box Corporation,22.4,347989958.4,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/bbox
BLKB,"Blackbaud, Inc.",34.03,1570831164,n/a,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blkb
BDR,"Blonder Tongue Laboratories, Inc.",0.95,5905553.4,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
BCOR,"Blucora, Inc.",17.18,725986856.5,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/bcor
BPHX,"BluePhoenix Solutions, Ltd.",4.09,46902426.74,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/bphx
EPAY,"Bottomline Technologies, Inc.",27.55,1084325105,n/a,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/epay
BLIN          ,"Bridgeline Digital, Inc.",0.87,19026638.13,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blin          
BCOV,Brightcove Inc.,6.38,204766923,n/a,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/bcov
BRCM,Broadcom Corporation,37.35,22073850000,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/brcm
BSFT,"BroadSoft, Inc.",24.46,699181346.2,n/a,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bsft
BVSN,"BroadVision, Inc.",9.15,43874789.85,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bvsn
BRCD,"Brocade Communications Systems, Inc.",9.38,4016628560,n/a,1999,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/brcd
BRKS,"Brooks Automation, Inc.",10.07,672739068.4,n/a,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/brks
BTUI,"BTU International, Inc.",3.26,31155458.14,n/a,1989,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btui
CA,CA Inc.,29.53,13142646221,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ca
CCMP,Cabot Microelectronics Corporation,39.81,960032561.2,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/ccmp
CACI,"CACI International, Inc.",69.35,1629424576,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/caci
CDNS,"Cadence Design Systems, Inc.",16.88,4895875200,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cdns
CAP,"Cai International, Inc.",20.93,465530418.1,n/a,2007,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/cap
CAMP,CalAmp Corp.,17.23,619380008.2,n/a,1983,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/camp
CALD,"Callidus Software, Inc.",11.01,506001829.9,n/a,2003,Technology,EDP Services,http://www.nasdaq.com/symbol/cald
CSIQ,Canadian Solar Inc.,27.65,1499449629,n/a,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/csiq
CARB,"Carbonite, Inc.",10.51,280538217,n/a,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/carb
CSLT,"Castlight Health, inc.",14.3,1279809860,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/cslt
CAVM,"Cavium, Inc.",44.28,2339661681,n/a,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/cavm
CBDE,CBD Energy Limited,2.84,5770916.92,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/cbde
CDI,CDI Corporation,14.61,285399571,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/cdi
CLS,"Celestica, Inc.",11.24,1796637433,n/a,1998,Technology,Electrical Products,http://www.nasdaq.com/symbol/cls
CRNT,Ceragon Networks Ltd.,2.41,126421774.9,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/crnt
CERN,Cerner Corporation,56.85,19520694562,n/a,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern
CEVA,"CEVA, Inc.",14.23,298630538.1,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ceva
CYOU,Changyou.com Limited,23.95,292593389.9,12216843,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyou
ECOM          ,ChannelAdvisor Corporation,22.67,557173398.6,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ecom          
CHRM,Charm Communications Inc.,4.49,42992903.93,9575257,2010,Technology,Advertising,http://www.nasdaq.com/symbol/chrm
CHKP,Check Point Software Technologies Ltd.,68.48,13065278519,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp
CMCM,Cheetah Mobile Inc.,20.63,2849355629,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cmcm
CVR,Chicago Rivet & Machine Co.,34.45,33283247.4,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvr
STV,"China Digital TV Holding Co., Ltd.",4.48,264988205.4,n/a,2007,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/stv
CNIT,"China Information Technology, Inc.",5.05,148300966.4,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnit
CMGE,China Mobile Games and Entertainment Group Limited,14.39,198925503.7,13823871,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cmge
CSUN,"China Sunergy Co., Ltd.",3.02,32398433.16,10727958,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/csun
CCIH,ChinaCache International Holdings Ltd.,13.09,203526618.7,15548252,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/ccih
CNET,"ChinaNet Online Holdings, Inc.",0.7201,16113346.45,n/a,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/cnet
IMOS,ChipMOS TECHNOLOGIES (Bermuda) LTD.,23.71,707297538.6,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/imos
CBR,"Ciber, Inc.",4.36,338500825.4,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/cbr
CIMT,"Cimatron, Limited",5.99,64460768.03,n/a,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/cimt
CRUS,"Cirrus Logic, Inc.",23.35,1450823880,n/a,1989,Technology,Semiconductors,http://www.nasdaq.com/symbol/crus
CSCO,"Cisco Systems, Inc.",25.97,133036250730,n/a,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
CTXS,"Citrix Systems, Inc.",67.37,11039477123,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs
CLNT,"Cleantech Solutions International, Inc.",5.61,20022101.22,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clnt
CKSW,ClickSoftware Technologies Ltd.,7.64,248258553,n/a,2000,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cksw
COBR,Cobra Electronics Corporation,4.21,27798545.8,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cobr
CCOI,"Cogent Communications Holdings, Inc.",35.03,1632307833,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ccoi
CTSH,Cognizant Technology Solutions Corporation,51.12,31104163624,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/ctsh
CLRX,"CollabRx, Inc.",1.568,4576501.216,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/clrx
COMM,"CommScope Holding Company, Inc.",23.4,4357961501,n/a,2013,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/comm
CVLT,"CommVault Systems, Inc.",48.04,2173538094,n/a,2006,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvlt
CPSI,"Computer Programs and Systems, Inc.",65.09,726661505.5,n/a,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/cpsi
CSC,Computer Sciences Corporation,64.79,9432825016,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/csc
CTG,"Computer Task Group, Incorporated",14.71,271106594.5,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ctg
CPWR,Compuware Corporation,9.41,2067168305,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cpwr
CMTL,Comtech Telecommunications Corp.,35.22,564710999.5,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cmtl
CNQR,"Concur Technologies, Inc.",91.1,5181971609,n/a,1998,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnqr
CCUR,Concurrent Computer Corporation,7.41,68633183.58,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ccur
CTCT,"Constant Contact, Inc.",32.76,1028337383,n/a,2007,Technology,Advertising,http://www.nasdaq.com/symbol/ctct
CVG,Convergys Corporation,20.18,2047750506,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/cvg
CNVR,"Conversant, Inc.",23.63,1583166639,n/a,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/cnvr
CLGX,"CoreLogic, Inc.",28.17,2589069178,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/clgx
CSOD,"Cornerstone OnDemand, Inc.",41.53,2207164925,n/a,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/csod
CRRS,"Corporate Resource Services, Inc.",1.99,314112137.1,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/crrs
CPAH,CounterPath Corporation,1.22,52016896,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cpah
COVR,Cover-All Technologies Inc.,1.2001,31968836.25,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/covr
COVS,Covisint Corporation,4.03,151532106.6,n/a,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/covs
CRAY,Cray Inc,28.29,1151149041,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/cray
CREE,"Cree, Inc.",48.02,5855474669,n/a,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/cree
EXE,"Crexendo, Inc.",3.15,35159427.45,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/exe
CRTO,Criteo S.A.,30.9,449439480.3,14544967,2013,Technology,Advertising,http://www.nasdaq.com/symbol/crto
CCRN,"Cross Country Healthcare, Inc.",6.86,213414579.4,n/a,2001,Technology,Professional Services,http://www.nasdaq.com/symbol/ccrn
CRDS,"Crossroads Systems, Inc.",2.91,43781092.59,n/a,1999,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/crds
CSGS,"CSG Systems International, Inc.",26.71,910561822.4,n/a,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/csgs
CSPI,CSP Inc.,7.7199,27703949.66,n/a,1982,Technology,EDP Services,http://www.nasdaq.com/symbol/cspi
CSRE,CSR plc,39.35,22495411.25,571675,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/csre
CTP,CTPartners Executive Search Inc.,13.09,93969641.15,n/a,2010,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ctp
CTS,CTS Corporation,17.74,599654327.6,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/cts
CW,Curtiss-Wright Corporation,61.65,2970833602,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cw
CVV,CVD Equipment Corporation,13.48,82550940.36,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvv
CVT,"CVENT, INC.",26.87,1106603950,n/a,1987,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvt
CYNI,"Cyan, Inc.",3.86,180580183.7,n/a,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/cyni
CY,Cypress Semiconductor Corporation,10.21,1610366563,n/a,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/cy
DAEG,Daegis Inc,1.2599,20642761,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/daeg
DQ,DAQQ New Energy Corp.,24.39,169196210.5,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/dq
DTLK,Datalink Corporation,11.97,269253084.2,n/a,1999,Technology,EDP Services,http://www.nasdaq.com/symbol/dtlk
DRAM,Dataram Corporation,2.55,5366888.1,n/a,n/a,Technology,Electronic Components,http://www.nasdaq.com/symbol/dram
DWCH,Datawatch Corporation,14.18,151960310.3,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dwch
TRAK,"Dealertrack Technologies, Inc.",38.16,2044544417,n/a,2005,Technology,EDP Services,http://www.nasdaq.com/symbol/trak
DMD,Demand Media Inc.,5.13,467336905.6,n/a,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/dmd
DWRE,"DEMANDWARE, INC.",62.77,2252681788,n/a,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/dwre
DGII,Digi International Inc.,8.06,204506581.5,n/a,1989,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/dgii
DMRC,Digimarc Corporation,25.53,192166403.5,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dmrc
DGLY,"Digital Ally, Inc.",4.45,10215210.85,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/dgly
DRIV,"Digital River, Inc.",14.18,463027679.3,n/a,1998,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/driv
DIOD,Diodes Incorporated,25.71,1203119607,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/diod
DLHC,DLH Holdings Corp.,1.9,18245268.7,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/dlhc
DSS,"Document Security Systems, Inc.",1.38,68315456.52,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dss
DLB,Dolby Laboratories,44.8,4594676038,n/a,2005,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/dlb
HILL,Dot Hill Systems Corporation,4.14,248358231.5,n/a,n/a,Technology,Electronic Components,http://www.nasdaq.com/symbol/hill
DOV,Dover Corporation,88.56,14749615927,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dov
DSPG,"DSP Group, Inc.",8.42,186478489.4,n/a,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/dspg
DST,"DST Systems, Inc.",93.37,3932859152,n/a,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/dst
EOPN,"E2open, Inc.",16.66,484808948.8,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/eopn
ELNK,EarthLink Holdings Corp.,3.65,373602130.2,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/elnk
ETN,"Eaton Corporation, PLC",77.47,36929949000,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/etn
EBIX,"Ebix, Inc.",12.72,488250140.4,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ebix
ELON,Echelon Corporation,2.29,99309413.24,n/a,1998,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/elon
SATS,EchoStar Corporation,51,4637501298,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sats
EDGW,"Edgewater Technology, Inc.",6.97,78192596.5,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/edgw
EFUT,eFuture Information Technology Inc.,4.99,19566668.24,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/efut
EGAN,eGain Corporation,6.49,165199088.5,n/a,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/egan
